BARCODE,NAMA
8995858192620,MIXAGRIP FLU & BATUK
8997014050010,ULTRAFLU KAPLET @4’S
8994096226418,IDM Tisu 180ply
8992753282401,123 BENDERA COKLAT 300G
8999909192034,2.3.4 FILTER
8999909007147,234 KERETEK
8999909172234,234 KERETEK 12
8999909005860,234 KERETEK 16
8999269471015,26-PROMIL GOLD 400G
8992780020151,2TANG AIR MINERAL 240ML
8992780020182,2TANG AIR MINERAL 330ML
8992780020038,2TANG AIR MINERAL 600ML
8992780020052,2TANG SPORT 500ML
8992780030051,2TANG TEH BUBUK 50GR VANILLA
8992780030129,2TANG TEH HITAM CELUP 60 BAG
089686811025,7UP 330ML
8882730008301,888 CALIFORNIA NEW ORANGE
9555021502350,A LICAFE 100G
9555021502336,A LICAFE 300G
8992761111212,A&W SARSAPARILA 330ML
9556593110028,A1 PERMEN JAGUNG 150G
9556593112381,A1 SHELLA SENBAI RICE 360G
8888380212761,AAA  ANCOVY  FISH SAUCE 750G
8850305310043,ABAKUS PERMEN 120G KTK PENSIL
8850305310340,ABAKUS PERMEN 30G KTK BLT
8850305310258,ABAKUS PERMEN BONEKA
8886022950538,ABC ALKALIN 9 VOLT
711844120167,ABC AYAM GRENG 135ML
711844120150,ABC AYAM GRENG 340ML
711844110403,ABC BLACK GOLD 600ML
8991002101111,ABC BROWNIES 30S
8992388121250,ABC CUP SELERA PEDAS 65G SEMUR
8992388121243,ABC CUP SELERA PEDAS 65G TOMAT
8991102100014,ABC DENT 130G
711844330146,ABC EXTRA PEDAS 155G
711844160378,ABC JUICE GUAVA 1LTR
711844160071,ABC JUICE JAMBU 250ML
711844160408,ABC JUICE JAMBU PREMIUM GOLD 1L
711844160392,ABC JUICE MIX PREMIUM GOLD 1L
711844160361,ABC JUICE ORANGE 1LTR
711844160415,ABC JUICE ORANGE GOLD 1LTR
711844160095,ABC JUICE SIRSAK
711844160439,ABC JUICE SOY BEAN 1LTR
711844160385,ABC JUS APPLE 1000ML
711844162419,ABC KACANG HIJAU 250ML
711844162402,ABC KACANG HJAU 200ML
711844110328,ABC KCP MANIS 18S
711844110366,ABC KCP MNS B.GOLD 620ML
711844110700,ABC KCP PEDAS 135ML
711844110021,ABC KECAP MANIS 600ML BTL PLASTIK
711844110069,ABC KECAP MANIS SEDANG 620ML
711844110724,ABC KECAP PEDAS 16GX20S
711844110717,ABC KECAP PEDAS 275ML
711844115057,ABC KICAP ASIN 133ML
711844115033,ABC KICAP ASIN 620ML
711844110113,ABC KICAP MANIS 135ML
711844110083,ABC KICAP MANIS 275ML BTL
7118441101378,ABC KICAP MANIS 600ML POUCH
711844110052,ABC KICAP MANIS 620ML
8991002101104,ABC KOPI BROWNIES 5SX32G
8991002101746,ABC KOPI MOCCA 5SX32G
8991002101654,ABC KOPI SUSU 20SX32G
711844330306,ABC MACKEREL 155G CHILI
711844330320,ABC MACKEREL 155G EXTRA PDS
711844330207,ABC MACKEREL 155G TOMAT
711844330313,ABC MACKEREL 425 CHILI
711844330214,ABC MACKEREL TOMAT  425
711844120099,ABC MANIS PEDAS 340 ML
8992388112791,ABC MIE EAT&GO BASO AYAM 60G
8992388112807,ABC MIE EAT&GO BASO SAPI 60G
8992388152322,ABC MIE REMEZ 35G JGG BAKAR
8992388152346,ABC MIE REMEZ 35G KRIM BAWANG
8992388211036,ABC MIE REMEZ 40G AYAM BAWANG
8992388212200,ABC MIE REMEZ 40G AYM GRG
8992388212309,ABC MIE REMEZ 40G KEJU
711844167056,ABC MILK SHAKE 185ml C
711844167032,ABC MILK SHAKE 185ml STAW
711844167049,ABC MILK SHAKE 185ml V
711844164796,ABC MR JUSSIE ICY CHOCO BANTAL 160M
711844160422,ABC MUNG BEAN 1000ML
8991002101265,ABC PLUS 25GX5S
8991002101258,ABC PLUS BOX 5SX18G
711844120327,ABC SAMBAL ASLI 10SX20G
711844120419,ABC SAMBAL ASLI 275ML
711844120013,ABC SAMBAL ASLI 340 ML
711844120525,ABC SAMBAL ASLI 380ML POUCH
711844120433,ABC SAMBAL ASLI 600ML BTL
711844120389,ABC SAMBAL AYAM GRG 10S
711844120365,ABC SAMBAL EXTRA PEDAS 10S
711844120082,ABC SAMBAL EXTRA PEDAS 135ML
711844120501,ABC SAMBAL EXTRA PEDAS 1KG
711844120440,ABC SAMBAL EXTRA PEDAS 275ML
711844120075,ABC SAMBAL EXTRA PEDAS 340ML
711844120532,ABC SAMBAL EXTRA PEDAS 380G
711844120341,ABC SAMBAL EXTRA REDAS 24SX9G
711844120105,ABC SAMBAL MANIS PEDAS 135ML
711844120518,ABC SAMBAL MASAK 190G
711844120037,ABC SAMBAL MEJA 135 ML
711844120310,ABC SAMBAL SASET 10G24
711844120402,ABC SAMBAL TERASI 10S
711844130319,ABC SAOS TOMAT SASET 9G24
711844330177,ABC SARDEN BALADO 170G
711844330160,ABC SARDEN GRG KCP PDS 170G
711844330016,ABC SARDINES  TOMAT 425ML
711844330108,ABC SARDINES CHILI 155
711844330115,ABC SARDINES CHILI 425G
711844330337,ABC SARDINES MACKEREL EXTRA PDS 425
711844330009,ABC SARDINES TOMAT 155G
711844162426,ABC SARI ASAM 250ML
711844140219,ABC SAUS ASAM MANIS 195ML
711844140059,ABC SAUS TIRAM 135ML
711844140028,ABC SAUS TIRAM 195ML
711844140035,ABC SAUS TIRAM 30G
711844130128,ABC SAUS TOMAT 275ML
711844130715,ABC SAUS TOMOT 5.7KG
8992388111145,ABC SOP TOMAT 70GX5S
